Laufzeit zum Lösen des Modells: 0.057 s
Gesamtlaufzeit: 0.055 s
Total Length: 23.4 cm

| Zeichen   |   Kosten |   Wort |
|-----------|----------|--------|
| ，        |        5 |  00000 |
| 文        |        5 |   0001 |
| 馬        |        5 |   0010 |
| 。        |        5 |    002 |
| 有        |        5 |   0100 |
| 古        |        5 |    011 |
| 英        |        5 |    020 |
| 雄        |        5 |   1000 |
| 未        |        5 |    101 |
| 遇        |        5 |    110 |
| 時        |        5 |     12 |
| 都        |        6 |  00001 |
| 無        |        6 |   0002 |
| 大        |        6 |   0011 |
| 志        |        6 |   0101 |
| 非        |        6 |    012 |
| 止        |        6 |    021 |
| 鄧        |        6 |   1001 |
| 禹        |        6 |    102 |
| 希        |        6 |    111 |
| 學        |        6 |   2000 |
| 、        |        6 |    201 |
| 武        |        6 |    210 |
| 望        |        6 |     22 |
| 督        |        7 |  00002 |
| 郵        |        7 |   0012 |
| 也        |        7 |   0102 |
| 晉        |        7 |    022 |
| 公        |        7 |   1002 |
| 妻        |        7 |    112 |
| 不        |        7 |   2001 |
| 肯        |        7 |    202 |
| 去        |        7 |    211 |
| 齊        |        8 |   2002 |
