Laufzeit zum Lösen des Modells: 26.836 s
Gesamtlaufzeit: 26.812 s
Total Length: 3659.7 cm

| Zeichen   |   Kosten |         Wort |
|-----------|----------|--------------|
| の        |        5 |           03 |
| た        |        5 |           12 |
| に        |        5 |           21 |
| い        |        5 |           30 |
| し        |        6 |           13 |
| と        |        6 |           22 |
| を        |        6 |           31 |
| て        |        6 |          003 |
| は        |        6 |          012 |
| 、        |        6 |          021 |
| な        |        6 |          102 |
| 。        |        6 |          111 |
| が        |        6 |          201 |
| る        |        6 |         0002 |
| で        |        6 |         0011 |
| こ        |        6 |         0020 |
| か        |        6 |         0101 |
| っ        |        6 |         0110 |
| ら        |        7 |           23 |
| う        |        7 |           32 |
| れ        |        7 |          013 |
| す        |        7 |          022 |
| ー        |        7 |          103 |
| り        |        7 |          112 |
| き        |        7 |          202 |
| ま        |        7 |         0003 |
| そ        |        7 |         0012 |
| ン        |        7 |         0021 |
| く        |        8 |           33 |
| よ        |        8 |          023 |
| だ        |        8 |          113 |
| あ        |        8 |          203 |
| さ        |        8 |         0013 |
| も        |        8 |         0022 |
| わ        |        8 |         0103 |
| ・        |        8 |         0112 |
|           |        8 |         0202 |
|           |        8 |         1003 |
| お        |        8 |         1012 |
| け        |        8 |         1102 |
| 「        |        8 |         2002 |
| 」        |        8 |        00003 |
| ル        |        8 |        00012 |
| え        |        8 |        00102 |
| ち        |        8 |        01002 |
| ん        |        8 |        01020 |
| ラ        |        8 |        01110 |
| つ        |        8 |        02001 |
| ス        |        8 |        02010 |
| カ        |        8 |        10002 |
| 人        |        9 |         0023 |
| イ        |        9 |         0113 |
| 見        |        9 |         0203 |
| ト        |        9 |         1013 |
| ウ        |        9 |         1103 |
| レ        |        9 |         2003 |
| ど        |        9 |        00013 |
| や        |        9 |        00103 |
| ジ        |        9 |        01003 |
| 大        |        9 |        01021 |
| 聖        |        9 |        01111 |
| 彼        |        9 |        02002 |
| め        |        9 |        02011 |
| 上        |        9 |        10003 |
| エ        |        9 |        10012 |
| 者        |        9 |        10021 |
| せ        |        9 |        10102 |
| ア        |        9 |        10111 |
| 思        |        9 |        11002 |
| フ        |        9 |        11011 |
| 出        |        9 |        20002 |
| ば        |        9 |        20011 |
| サ        |        9 |       000003 |
| 車        |        9 |       000012 |
| 堂        |        9 |       000021 |
| 建        |        9 |       000102 |
| 海        |        9 |       000111 |
| 中        |        9 |       001002 |
| む        |        9 |       001011 |
| 道        |       10 |        01022 |
| ョ        |       10 |        01112 |
| 事        |       10 |        02003 |
| 物        |       10 |        02012 |
| み        |       10 |        10013 |
| チ        |       10 |        10022 |
| 言        |       10 |        10103 |
| タ        |       10 |        10112 |
| 手        |       10 |        11003 |
| 地        |       10 |        11012 |
| 一        |       10 |        20003 |
| 口        |       10 |        20012 |
| 会        |       10 |       000013 |
| べ        |       10 |       000022 |
| ク        |       10 |       000103 |
| げ        |       10 |       000112 |
| 部        |       10 |       001003 |
| マ        |       10 |       001012 |
| ほ        |       10 |       010003 |
| オ        |       10 |       010012 |
| ろ        |       10 |       020002 |
| び        |       10 |       100003 |
| 立        |       10 |       100012 |
| 水        |       10 |       100102 |
| 築        |       10 |       100111 |
| 乗        |       10 |       100201 |
| 雨        |       10 |       101002 |
| 通        |       10 |       101011 |
| ょ        |       10 |       101101 |
| 入        |       10 |       110002 |
| ね        |       10 |       110011 |
| 主        |       10 |       110101 |
| 任        |       10 |       200002 |
| 司        |       10 |       200011 |
| 場        |       10 |       200101 |
| 川        |       10 |      0000003 |
| 決        |       10 |      0000012 |
| 自        |       10 |      0000021 |
| 馬        |       10 |      0000102 |
| 員        |       10 |      0000111 |
| ァ        |       10 |      0000201 |
| ド        |       10 |      0001002 |
| ぶ        |       10 |      0001011 |
| 家        |       10 |      0001101 |
| 合        |       10 |      0010002 |
| ―         |       10 |      0010011 |
| 分        |       10 |      0010101 |
| 気        |       10 |      0100002 |
| 祭        |       10 |      0100011 |
| 線        |       10 |      0100020 |
| 内        |       10 |      0100101 |
| 送        |       10 |      0100110 |
| 後        |       10 |      0200001 |
| 港        |       10 |      0200010 |
| ざ        |       10 |      1000002 |
| 市        |       10 |      1000011 |
| 取        |       10 |      1000020 |
| ッ        |       10 |      1000101 |
| 利        |       10 |      1000110 |
| 明        |       10 |      1001001 |
| 行        |       10 |      1001010 |
| ご        |       10 |      1001100 |
| 目        |       10 |      1002000 |
| 駅        |       10 |      1010001 |
| 降        |       10 |      1010010 |
| 前        |       10 |      1010100 |
| ぎ        |       10 |      1011000 |
| 友        |       10 |      1100001 |
| 奏        |       10 |      1100010 |
| 重        |       10 |      1100100 |
| 不        |       11 |        01023 |
| 陸        |       11 |        01113 |
| 四        |       11 |        02013 |
| 得        |       11 |        10023 |
| 身        |       11 |        10113 |
| 防        |       11 |        11013 |
| ぐ        |       11 |        20013 |
| 振        |       11 |       000023 |
| 方        |       11 |       000113 |
| 広        |       11 |       001013 |
| 鉄        |       11 |       010013 |
| 外        |       11 |       020003 |
| 交        |       11 |       100013 |
| 年        |       11 |       100103 |
| 運        |       11 |       100112 |
| 屋        |       11 |       100202 |
| 式        |       11 |       101003 |
| 敷        |       11 |       101012 |
| 過        |       11 |       101102 |
| ワ        |       11 |       110003 |
| 着        |       11 |       110012 |
| 用        |       11 |       110102 |
| 数        |       11 |       200003 |
| 実        |       11 |       200012 |
| 側        |       11 |       200102 |
| ぼ        |       11 |      0000013 |
| ひ        |       11 |      0000022 |
| 若        |       11 |      0000103 |
| 意        |       11 |      0000112 |
| 紹        |       11 |      0000202 |
| 介        |       11 |      0001003 |
| 教        |       11 |      0001012 |
| ミ        |       11 |      0001102 |
| ノ        |       11 |      0010003 |
| ガ        |       11 |      0010012 |
| 医        |       11 |      0010102 |
| リ        |       11 |      0100003 |
| 差        |       11 |      0100012 |
| 安        |       11 |      0100021 |
| 素        |       11 |      0100102 |
| 塔        |       11 |      0100111 |
| 量        |       11 |      0200002 |
| 無        |       11 |      0200011 |
| 船        |       11 |      1000003 |
| ダ        |       11 |      1000012 |
| 撃        |       11 |      1000021 |
| 名        |       11 |      1000102 |
| 河        |       11 |      1000111 |
| 他        |       11 |      1001002 |
| 民        |       11 |      1001011 |
| 生        |       11 |      1001101 |
| 代        |       11 |      1002001 |
| 考        |       11 |      1010002 |
| 石        |       11 |      1010011 |
| 堤        |       11 |      1010101 |
| 牧        |       11 |      1011001 |
| 草        |       11 |      1100002 |
| 味        |       11 |      1100011 |
| 南        |       11 |      1100101 |
| 越        |       11 |      1101001 |
| 舞        |       11 |      2000002 |
| 町        |       11 |      2000011 |
| 々        |       11 |      2000101 |
| 小        |       11 |      2001001 |
| 北        |       11 |     00000003 |
| 走        |       11 |     00000012 |
| 復        |       11 |     00000021 |
| 保        |       11 |     00000102 |
| 古        |       11 |     00000111 |
| 説        |       11 |     00000201 |
| 修        |       11 |     00001002 |
| 商        |       11 |     00001011 |
| ず        |       11 |     00001101 |
| 到        |       11 |     00002001 |
| 荷        |       11 |     00010002 |
| 足        |       11 |     00010011 |
| 音        |       11 |     00010101 |
| パ        |       11 |     00011001 |
| じ        |       11 |     00100002 |
| 歩        |       11 |     00100011 |
| ぞ        |       11 |     00100101 |
| 少        |       11 |     00101001 |
| 散        |       11 |     01000002 |
| 巨        |       11 |     01000011 |
| 空        |       11 |     01000101 |
| 話        |       11 |     01001001 |
| 格        |       11 |     02000001 |
| 助        |       11 |     10000002 |
| 仕        |       11 |     10000011 |
| 示        |       11 |     10000101 |
| づ        |       11 |     10001001 |
| 指        |       11 |     10010001 |
| ゃ        |       11 |     10100001 |
| 特        |       11 |     11000001 |
| 廊        |       11 |     11010000 |
| 晴        |       11 |     20000001 |
| 眠        |       11 |     20000010 |
| 図        |       11 |     20000100 |
| ォ        |       12 |       100113 |
| 元        |       12 |       100203 |
| 呼        |       12 |       101013 |
| 所        |       12 |       101103 |
| 今        |       12 |       110013 |
| 岸        |       12 |       110103 |
| 二        |       12 |       200013 |
| 寄        |       12 |       200103 |
| 隊        |       12 |      0000023 |
| 隻        |       12 |      0000113 |
| 世        |       12 |      0000203 |
| 由        |       12 |      0001013 |
| 砂        |       12 |      0001103 |
| 流        |       12 |      0010013 |
| 細        |       12 |      0010103 |
| 横        |       12 |      0100013 |
| 伸        |       12 |      0100022 |
| 知        |       12 |      0100103 |
| 放        |       12 |      0100112 |
| 羊        |       12 |      0200003 |
| 権        |       12 |      0200012 |
| 持        |       12 |      1000013 |
| 負        |       12 |      1000022 |
| 美        |       12 |      1000103 |
| 風        |       12 |      1000112 |
| 波        |       12 |      1001003 |
| 儀        |       12 |      1001012 |
| 日        |       12 |      1001102 |
| ゆ        |       12 |      1002002 |
| 窓        |       12 |      1010003 |
| 動        |       12 |      1010012 |
| 境        |       12 |      1010102 |
| グ        |       12 |      1011002 |
| 輪        |       12 |      1100003 |
| 街        |       12 |      1100012 |
| 治        |       12 |      1100102 |
| 都        |       12 |      1101002 |
| 有        |       12 |      2000003 |
| 能        |       12 |      2000012 |
| 信        |       12 |      2000102 |
| 望        |       12 |      2001002 |
| 集        |       12 |     00000013 |
| 団        |       12 |     00000022 |
| 便        |       12 |     00000103 |
| 社        |       12 |     00000112 |
| 支        |       12 |     00000202 |
| 工        |       12 |     00001003 |
| 委        |       12 |     00001012 |
| 時        |       12 |     00001102 |
| 汽        |       12 |     00002002 |
| 午        |       12 |     00010003 |
| 三        |       12 |     00010012 |
| 等        |       12 |     00010102 |
| 券        |       12 |     00011002 |
| 買        |       12 |     00100003 |
| 厳        |       12 |     00100012 |
| 心        |       12 |     00100102 |
| 老        |       12 |     00101002 |
| ブ        |       12 |     01000003 |
| ム        |       12 |     01000012 |
| ホ        |       12 |     01000102 |
| テ        |       12 |     01001002 |
| 床        |       12 |     02000002 |
| 覆        |       12 |     10000003 |
| 十        |       12 |     10000012 |
| 全        |       12 |     10000102 |
| 頭        |       12 |     10001002 |
| 面        |       12 |     10010002 |
| 感        |       12 |     10100002 |
| ピ        |       12 |     11000002 |
| ヴ        |       12 |     11010001 |
| 進        |       12 |     20000002 |
| 根        |       12 |     20000011 |
| 神        |       12 |     20000101 |
| ポ        |       12 |     20001001 |
| 深        |       12 |     20010001 |
| 套        |       12 |    000000003 |
| 暗        |       12 |    000000012 |
| 職        |       12 |    000000021 |
| 直        |       12 |    000000102 |
| 多        |       12 |    000000111 |
| 以        |       12 |    000000201 |
| 頷        |       12 |    000001002 |
| 参        |       12 |    000001011 |
| キ        |       12 |    000001101 |
| 尊        |       12 |    000002001 |
| 区        |       12 |    000010002 |
| 下        |       12 |    000010011 |
| シ        |       12 |    000010101 |
| 楽        |       12 |    000011001 |
| ぬ        |       12 |    000020001 |
| 度        |       12 |    000100002 |
| 対        |       12 |    000100011 |
| 達        |       12 |    000100101 |
| 何        |       12 |    000101001 |
| 役        |       12 |    000110001 |
| 濡        |       12 |    001000002 |
| 匂        |       12 |    001000011 |
| 注        |       12 |    001000101 |
| ベ        |       12 |    001001001 |
| 丈        |       12 |    001010001 |
| 様        |       12 |    010000002 |
| 積        |       12 |    010000011 |
| 山        |       12 |    010000101 |
| 英        |       12 |    010001001 |
| 国        |       12 |    010010001 |
| 測        |       12 |    020000001 |
| 制        |       12 |    100000002 |
| 作        |       12 |    100000011 |
| 単        |       12 |    100000101 |
| 敵        |       12 |    100001001 |
| 艦        |       12 |    100010001 |
| 戦        |       12 |    100100001 |
| 六        |       12 |    101000001 |
| 紀        |       12 |    110000001 |
| 攻        |       12 |    200000001 |
| 迎        |       12 |    200010000 |
| 緒        |       12 |    200100000 |
| 歴        |       12 |   0000000002 |
| 史        |       12 |   0000000011 |
| 輝        |       12 |   0000000020 |
| 残        |       12 |   0000000101 |
| 域        |       12 |   0000000110 |
| 沈        |       12 |   0000000200 |
| 泥        |       12 |   0000001001 |
| ふ        |       12 |   0000001010 |
| 州        |       12 |   0000001100 |
| 貿        |       12 |   0000002000 |
| 易        |       12 |   0000010001 |
| 探        |       12 |   0000010010 |
| へ        |       12 |   0000010100 |
| 縦        |       12 |   0000011000 |
| 縮        |       12 |   0000020000 |
| 変        |       12 |   0000100001 |
| 貌        |       12 |   0000100010 |
| 類        |       12 |   0000100100 |
| 計        |       12 |   0000101000 |
| 塩        |       12 |   0000110000 |
| 沢        |       12 |   0000200000 |
| 埋        |       12 |   0001000001 |
| 償        |       12 |   0001000010 |
| 真        |       12 |   0001000100 |
| 路        |       12 |   0001001000 |
| 造        |       12 |   0001010000 |
| 低        |       12 |   0001100000 |
| 峡        |       12 |   0010000001 |
| プ        |       12 |   0010000010 |
| 産        |       12 |   0010000100 |
| 抵        |       12 |   0010001000 |
| 抗        |       12 |   0010010000 |
| 渡        |       12 |   0010100000 |
| 東        |       12 |   0100000001 |
| 潮        |       12 |   0100000010 |
| 共        |       12 |   0100000100 |
| 忘        |       12 |   0100001000 |
| 昔        |       12 |   0100010000 |
| 拘        |       12 |   0100100000 |
| 束        |       12 |   0200000000 |
| 断        |       12 |   1000000001 |
| 切        |       12 |   1000000010 |
| 暴        |       12 |   1000000100 |
| 階        |       12 |   1000001000 |
| 眺        |       12 |   1000010000 |
| 誰        |       12 |   1000100000 |
| 再        |       12 |   1001000000 |
| 移        |       12 |   1010000000 |
| 浸        |       12 |   1100000000 |
| 湖        |       12 |   2000000000 |
| 界        |       12 |  00000000001 |
| 幅        |       12 |  00000000010 |
| ザ        |       12 |  00000000100 |
| 幹        |       12 |  00000001000 |
| 捨        |       12 |  00000010000 |
| 七        |       12 |  00000100000 |
| 長        |       12 |  00001000000 |
| 鄙        |       12 |  00010000000 |
| 往        |       12 |  00100000000 |
| 選        |       12 |  01000000000 |
| 議        |       12 |  10000000000 |
| ゼ        |       12 | 000000000000 |
| 体        |       13 |      0100023 |
| 表        |       13 |      0100113 |
| 正        |       13 |      0200013 |
| 組        |       13 |      1000023 |
| 織        |       13 |      1000113 |
| 改        |       13 |      1001013 |
| 善        |       13 |      1001103 |
| 必        |       13 |      1002003 |
| 要        |       13 |      1010013 |
| 設        |       13 |      1010103 |
| 性        |       13 |      1011003 |
| 去        |       13 |      1100013 |
| 比        |       13 |      1100103 |
| 粗        |       13 |      1101003 |
| 末        |       13 |      2000013 |
| 託        |       13 |      2000103 |
| 当        |       13 |      2001003 |
| 珍        |       13 |     00000023 |
| 消        |       13 |     00000113 |
| 毎        |       13 |     00000203 |
| 激        |       13 |     00001013 |
| ロ        |       13 |     00001103 |
| 旅        |       13 |     00002003 |
| 費        |       13 |     00010013 |
| 節        |       13 |     00010103 |
| 約        |       13 |     00011003 |
| 換        |       13 |     00100013 |
| 威        |       13 |     00100103 |
| 苦        |       13 |     00101003 |
| 労        |       13 |     01000013 |
| 終        |       13 |     01000103 |
| 養        |       13 |     01001003 |
| 院        |       13 |     02000003 |
| 配        |       13 |     10000013 |
| 属        |       13 |     10000103 |
| ズ        |       13 |     10001003 |
| 族        |       13 |     10010003 |
| 喜        |       13 |     10100003 |
| 好        |       13 |     11000003 |
| 客        |       13 |     11010002 |
| 余        |       13 |     20000003 |
| 裕        |       13 |     20000012 |
| ぷ        |       13 |     20000102 |
| 藁        |       13 |     20001002 |
| 突        |       13 |     20010002 |
| 間        |       13 |    000000013 |
| 耐        |       13 |    000000022 |
| 完        |       13 |    000000103 |
| 駆        |       13 |    000000112 |
| 角        |       13 |    000000202 |
| 聳        |       13 |    000001003 |
| セ        |       13 |    000001012 |
| 嘆        |       13 |    000001102 |
| 声        |       13 |    000002002 |
| 抑        |       13 |    000010003 |
| 篠        |       13 |    000010012 |
| 追        |       13 |    000010102 |
| 払        |       13 |    000011002 |
| 緑        |       13 |    000020002 |
| 幾        |       13 |    000100003 |
| デ        |       13 |    000100012 |
| ィ        |       13 |    000100102 |
| ゴ        |       13 |    000101002 |
| 待        |       13 |    000110002 |
| 沛        |       13 |    001000003 |
| 然        |       13 |    001000012 |
| 砕        |       13 |    001000102 |
| 霧        |       13 |    001001002 |
| 昇        |       13 |    001010002 |
| 蒸        |       13 |    010000003 |
| ェ        |       13 |    010000012 |
| 被        |       13 |    010000102 |
| 台        |       13 |    010001002 |
| 紗        |       13 |    010010002 |
| 幕        |       13 |    020000002 |
| 郭        |       13 |    100000003 |
| 浮        |       13 |    100000012 |
| 想        |       13 |    100000102 |
| 像        |       13 |    100001002 |
| 描        |       13 |    100010002 |
| 姿        |       13 |    100100002 |
| 遥        |       13 |    101000002 |
| 秘        |       13 |    110000002 |
| 的        |       13 |    200000002 |
| 荘        |       13 |    200010001 |
| 門        |       13 |    200100001 |
| 停        |       13 |   0000000003 |
| 抜        |       13 |   0000000012 |
| 板        |       13 |   0000000021 |
| 御        |       13 |   0000000102 |
| 開        |       13 |   0000000111 |
| 届        |       13 |   0000000201 |
| 帽        |       13 |   0000001002 |
| 子        |       13 |   0000001011 |
| 襟        |       13 |   0000001101 |
| 飛        |       13 |   0000002001 |
| 墓        |       13 |   0000010002 |
| 急        |       13 |   0000010011 |
| 服        |       13 |   0000010101 |
| 撥        |       13 |   0000011001 |
| 扉        |       13 |   0000020001 |
| 戸        |       13 |   0000100002 |
| 革        |       13 |   0000100011 |
| 帳        |       13 |   0000100101 |
| 《        |       13 |   0000101001 |
| 》        |       13 |   0000110001 |
| 押        |       13 |   0000200001 |
| 雲        |       13 |   0001000002 |
| 閉        |       13 |   0001000011 |
| 薄        |       13 |   0001000101 |
| 歌        |       13 |   0001001001 |
| 席        |       13 |   0001010001 |
| 男        |       13 |   0001100001 |
| 返        |       13 |   0010000002 |
| 領        |       13 |   0010000011 |
| 袖        |       13 |   0010000101 |
| 首        |       13 |   0010001001 |
| 巻        |       13 |   0010010001 |
| 挨        |       13 |   0010100001 |
| 拶        |       13 |   0100000002 |
| 彩        |       13 |   0100000011 |
| 使        |       13 |   0100000101 |
| 同        |       13 |   0100001001 |
| 己        |       13 |   0100010001 |
| 申        |       13 |   0100100001 |
| 聞        |       13 |   0200000001 |
| 別        |       13 |   1000000002 |
| 付        |       13 |   1000000011 |
| 泊        |       13 |   1000000101 |
| 業        |       13 |   1000001001 |
| 誇        |       13 |   1000010001 |
| 回        |       13 |   1000100001 |
| 短        |       13 |   1001000001 |
| 敬        |       13 |   1010000001 |
| 調        |       13 |   1100000001 |
| 相        |       13 |   2000000001 |
| 扱        |       13 |  00000000002 |
| 貶        |       13 |  00000000011 |
| 疑        |       13 |  00000000101 |
| 問        |       13 |  00000001001 |
| ャ        |       13 |  00000010001 |
| 礼        |       13 |  00000100001 |
| 拝        |       13 |  00001000001 |
| 演        |       13 |  00010000001 |
| ニ        |       13 |  00100000001 |
| 優        |       13 |  01000000001 |
| 秀        |       13 |  10000000001 |
| 売        |       13 | 000000000001 |
| 管        |       14 |     11010003 |
| 理        |       14 |     20000013 |
| 伝        |       14 |     20000103 |
| 受        |       14 |     20001003 |
| 肩        |       14 |     20010003 |
| 態        |       14 |    000000023 |
| 侮        |       14 |    000000113 |
| 蔑        |       14 |    000000203 |
| 万        |       14 |    000001013 |
| 逆        |       14 |    000001103 |
| 充        |       14 |    000002003 |
| 認        |       14 |    000010013 |
| 識        |       14 |    000010103 |
| 恭        |       14 |    000011003 |
| 揖        |       14 |    000020003 |
| 丁        |       14 |    000100013 |
| 寧        |       14 |    000100103 |
| 謙        |       14 |    000101003 |
| 虚        |       14 |    000110003 |
| 惜        |       14 |    001000013 |
| 護        |       14 |    001000103 |
| 務        |       14 |    001001003 |
| 料        |       14 |    001010003 |
| 機        |       14 |    010000013 |
| 嫌        |       14 |    010000103 |
| 徴        |       14 |    010001003 |
| 摘        |       14 |    010010003 |
| 折        |       14 |    020000003 |
| 快        |       14 |    100000013 |
| 褒        |       14 |    100000103 |
| 逃        |       14 |    100001003 |
| 観        |       14 |    100010003 |
| 念        |       14 |    100100003 |
| 傘        |       14 |    101000003 |
| 独        |       14 |    110000003 |
| 雰        |       14 |    200000003 |
| 囲        |       14 |    200010002 |
| 醸        |       14 |    200100002 |
| 冷        |       14 |   0000000013 |
| 漏        |       14 |   0000000022 |
| 雄        |       14 |   0000000103 |
| 弁        |       14 |   0000000112 |
| 案        |       14 |   0000000202 |
| 千        |       14 |   0000001003 |
| 百        |       14 |   0000001012 |
| 五        |       14 |   0000001102 |
| 経        |       14 |   0000002002 |
| 験        |       14 |   0000010003 |
| 脇        |       14 |   0000010012 |
| 尋        |       14 |   0000010102 |
| 導        |       14 |   0000011002 |
| 夫        |       14 |   0000020002 |
| 答        |       14 |   0000100003 |
| 眉        |       14 |   0000100012 |
| 毛        |       14 |   0000100102 |
| 崇        |       14 |   0000101002 |
| 高        |       14 |   0000110002 |
| 簡        |       14 |   0000200002 |
| ケ        |       14 |   0001000003 |
| 吟        |       14 |   0001000012 |
| 値        |       14 |   0001000102 |
| 軽        |       14 |   0001001002 |
| 岩        |       14 |   0001010002 |
| 頑        |       14 |   0001100002 |
