Optimal solution found:
permutation_0_0 = 1.0
permutation_0_1 = -0.0
permutation_0_2 = -0.0
permutation_0_3 = -0.0
permutation_0_4 = -0.0
permutation_0_5 = -0.0
permutation_0_6 = -0.0
permutation_0_7 = -0.0
permutation_0_8 = -0.0
permutation_0_9 = -0.0
permutation_0_10 = -0.0
permutation_0_11 = -0.0
permutation_0_12 = -0.0
permutation_0_13 = -0.0
permutation_0_14 = -0.0
permutation_0_15 = -0.0
permutation_0_16 = -0.0
permutation_0_17 = -0.0
permutation_0_18 = -0.0
permutation_0_19 = -0.0
permutation_0_20 = -0.0
permutation_0_21 = -0.0
permutation_0_22 = -0.0
permutation_1_0 = -0.0
permutation_1_1 = -0.0
permutation_1_2 = -0.0
permutation_1_3 = -0.0
permutation_1_4 = -0.0
permutation_1_5 = 1.0
permutation_1_6 = 0.0
permutation_1_7 = 0.0
permutation_1_8 = 0.0
permutation_1_9 = 0.0
permutation_1_10 = 0.0
permutation_1_11 = 0.0
permutation_1_12 = 0.0
permutation_1_13 = 0.0
permutation_1_14 = 0.0
permutation_1_15 = 0.0
permutation_1_16 = 0.0
permutation_1_17 = 0.0
permutation_1_18 = -0.0
permutation_1_19 = -0.0
permutation_1_20 = -0.0
permutation_1_21 = 0.0
permutation_1_22 = -0.0
permutation_2_0 = -0.0
permutation_2_1 = -0.0
permutation_2_2 = -0.0
permutation_2_3 = -0.0
permutation_2_4 = -0.0
permutation_2_5 = -0.0
permutation_2_6 = 0.0
permutation_2_7 = 0.0
permutation_2_8 = 0.0
permutation_2_9 = 0.0
permutation_2_10 = 1.0
permutation_2_11 = 0.0
permutation_2_12 = 0.0
permutation_2_13 = 0.0
permutation_2_14 = 0.0
permutation_2_15 = 0.0
permutation_2_16 = 0.0
permutation_2_17 = 0.0
permutation_2_18 = -0.0
permutation_2_19 = -0.0
permutation_2_20 = -0.0
permutation_2_21 = 0.0
permutation_2_22 = -0.0
permutation_3_0 = -0.0
permutation_3_1 = -0.0
permutation_3_2 = -0.0
permutation_3_3 = -0.0
permutation_3_4 = -0.0
permutation_3_5 = -0.0
permutation_3_6 = 0.0
permutation_3_7 = 1.0
permutation_3_8 = 0.0
permutation_3_9 = 0.0
permutation_3_10 = 0.0
permutation_3_11 = 0.0
permutation_3_12 = 0.0
permutation_3_13 = 0.0
permutation_3_14 = 0.0
permutation_3_15 = 0.0
permutation_3_16 = 0.0
permutation_3_17 = 0.0
permutation_3_18 = -0.0
permutation_3_19 = -0.0
permutation_3_20 = -0.0
permutation_3_21 = 0.0
permutation_3_22 = -0.0
permutation_4_0 = -0.0
permutation_4_1 = -0.0
permutation_4_2 = -0.0
permutation_4_3 = -0.0
permutation_4_4 = -0.0
permutation_4_5 = 0.0
permutation_4_6 = 0.0
permutation_4_7 = 0.0
permutation_4_8 = 0.0
permutation_4_9 = 0.0
permutation_4_10 = 0.0
permutation_4_11 = 0.0
permutation_4_12 = 0.0
permutation_4_13 = 0.0
permutation_4_14 = 0.0
permutation_4_15 = 1.0
permutation_4_16 = 0.0
permutation_4_17 = 0.0
permutation_4_18 = -0.0
permutation_4_19 = -0.0
permutation_4_20 = -0.0
permutation_4_21 = 0.0
permutation_4_22 = -0.0
permutation_5_0 = -0.0
permutation_5_1 = 0.0
permutation_5_2 = 0.0
permutation_5_3 = 0.0
permutation_5_4 = 0.0
permutation_5_5 = -0.0
permutation_5_6 = -0.0
permutation_5_7 = -0.0
permutation_5_8 = -0.0
permutation_5_9 = -0.0
permutation_5_10 = -0.0
permutation_5_11 = -0.0
permutation_5_12 = -0.0
permutation_5_13 = -0.0
permutation_5_14 = -0.0
permutation_5_15 = -0.0
permutation_5_16 = -0.0
permutation_5_17 = -0.0
permutation_5_18 = 0.0
permutation_5_19 = 1.0
permutation_5_20 = 0.0
permutation_5_21 = 0.0
permutation_5_22 = -0.0
permutation_6_0 = -0.0
permutation_6_1 = -0.0
permutation_6_2 = -0.0
permutation_6_3 = -0.0
permutation_6_4 = -0.0
permutation_6_5 = 0.0
permutation_6_6 = 0.0
permutation_6_7 = 0.0
permutation_6_8 = 0.0
permutation_6_9 = 0.0
permutation_6_10 = 0.0
permutation_6_11 = 0.0
permutation_6_12 = 0.0
permutation_6_13 = 0.0
permutation_6_14 = 0.0
permutation_6_15 = 0.0
permutation_6_16 = 1.0
permutation_6_17 = 0.0
permutation_6_18 = -0.0
permutation_6_19 = -0.0
permutation_6_20 = -0.0
permutation_6_21 = 0.0
permutation_6_22 = -0.0
permutation_7_0 = -0.0
permutation_7_1 = 0.0
permutation_7_2 = 0.0
permutation_7_3 = 0.0
